rank,filename,similarity,file
21,03-مثل-الدهر-الأول-1-حمار-الوحش-وإيراد-الأتن_SONG_A.mp3,0.91679245,/content/SUNO_BACKUP_11082026/amin_almanoon_17082026/03-مثل-الدهر-الأول-1-حمار-الوحش-وإيراد-الأتن_SONG_A.mp3
22,02-زوال-ملك-النعمان-وعزاء-الفتوة-ومجالس-الندامى_SONG_A.mp3,0.91655064,/content/SUNO_BACKUP_11082026/aasha_ariqtu_21082026/02-زوال-ملك-النعمان-وعزاء-الفتوة-ومجالس-الندامى_SONG_A.mp3
23,02-وحشة-الاغتراب-ووفاء-السلاح_SONG_B.mp3,0.9131131,/content/SUNO_BACKUP_11082026/malik_ibn_rayb_17082026/02-وحشة-الاغتراب-ووفاء-السلاح_SONG_B.mp3
24,القسم 1  الأطلال والحنين مقام نهاوند_SONG_C.mp3,0.9130832,/content/SUNO_BACKUP_11082026/nabigha_17072026_A/القسم 1  الأطلال والحنين مقام نهاوند_SONG_C.mp3
25,القسم 5  القسم والاعتذار مقام نهاوند_SONG_B.mp3,0.9125633,/content/SUNO_BACKUP_11082026/nabigah_19072026/القسم 5  القسم والاعتذار مقام نهاوند_SONG_B.mp3
26,06-تذكير-الخصوم-بوقائع-الهزائم-السابقة_SONG_A.mp3,0.91210407,/content/SUNO_BACKUP_11082026/alharith_bin_heliza_22082026/06-تذكير-الخصوم-بوقائع-الهزائم-السابقة_SONG_A.mp3
27,RETAKE_02-وحشة-الاغتراب-ووفاء-السلاح_SONG_B.mp3,0.9091048,/content/SUNO_BACKUP_11082026/malik_ibn_rayb_17082026/RETAKE_02-وحشة-الاغتراب-ووفاء-السلاح_SONG_B.mp3
28,القسم 1  الأطلال والحنين مقام نهاوند_SONG_A.mp3,0.9087343,/content/SUNO_BACKUP_11082026/nabigah_19072026/القسم 1  الأطلال والحنين مقام نهاوند_SONG_A.mp3
29,03-مثل-الدهر-الأول-1-حمار-الوحش-وإيراد-الأتن_SONG_B.mp3,0.90775824,/content/SUNO_BACKUP_11082026/amin_almanoon_17082026/03-مثل-الدهر-الأول-1-حمار-الوحش-وإيراد-الأتن_SONG_B.mp3
30,07-استبسال-الدروع-وحماية-الحرائر_SONG_A.mp3,0.9075662,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_23072026/07-استبسال-الدروع-وحماية-الحرائر_SONG_A.mp3
31,RETAKE_02-وحشة-الاغتراب-ووفاء-السلاح_SONG_A.mp3,0.907147,/content/SUNO_BACKUP_11082026/malik_ibn_rayb_17082026/RETAKE_02-وحشة-الاغتراب-ووفاء-السلاح_SONG_A.mp3
32,02-حكمة-التجلد-وعزاء-الفناء-المشترك_SONG_B.mp3,0.9062214,/content/SUNO_BACKUP_11082026/amin_almanoon_17082026/02-حكمة-التجلد-وعزاء-الفناء-المشترك_SONG_B.mp3
33,03-تجريد-الناقة-وجمال-المروج-وتوقد-الثور-الوحشي_SONG_A.mp3,0.90586877,/content/SUNO_BACKUP_11082026/nabigha_jaadi_21082026/03-تجريد-الناقة-وجمال-المروج-وتوقد-الثور-الوحشي_SONG_A.mp3
34,01-موعظة-الدهر-وذكرى-الملوك-والندامى_SONG_A.mp3,0.9049473,/content/SUNO_BACKUP_11082026/nabigha_jaadi_21082026/01-موعظة-الدهر-وذكرى-الملوك-والندامى_SONG_A.mp3
35,06-التيه-في-الفضاء-وركب-اليمانيين_SONG_B.mp3,0.9041852,/content/SUNO_BACKUP_11082026/majnoon_layla_22082026/06-التيه-في-الفضاء-وركب-اليمانيين_SONG_B.mp3
36,القسم 5  القسم والاعتذار مقام نهاوند_SONG_A.mp3,0.90148985,/content/SUNO_BACKUP_11082026/nabigha_17072026_A/القسم 5  القسم والاعتذار مقام نهاوند_SONG_A.mp3
37,02-الانطلاق-بالناقة-وصفات-قوتها_SONG_A.mp3,0.899936,/content/SUNO_BACKUP_11082026/tarafa_23072026/02-الانطلاق-بالناقة-وصفات-قوتها_SONG_A.mp3
38,01-العذل-ومكابدة-الاغتراب-وفلسفة-الرزق_SONG_B.mp3,0.89972496,/content/SUNO_BACKUP_11082026/ibn_zuraiq_20082026/01-العذل-ومكابدة-الاغتراب-وفلسفة-الرزق_SONG_B.mp3
39,02-ملحمة-فتح-الفتوح-وعذراء-الحصون_SONG_B.mp3,0.89942425,/content/SUNO_BACKUP_11082026/abu-tammam_16082026/02-ملحمة-فتح-الفتوح-وعذراء-الحصون_SONG_B.mp3
40,02-ملحمة-فتح-الفتوح-وعذراء-الحصون_SONG_A.mp3,0.8977222,/content/SUNO_BACKUP_11082026/abu-tammam_16082026/02-ملحمة-فتح-الفتوح-وعذراء-الحصون_SONG_A.mp3
41,07-استبسال-الدروع-وحماية-الحرائر_SONG_B.mp3,0.8974819,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_23072026/07-استبسال-الدروع-وحماية-الحرائر_SONG_B.mp3
42,06-فناء-الكواكب-وحكمة-الزهد-الكوني_SONG_A.mp3,0.89469516,/content/SUNO_BACKUP_11082026/ghayra_mujdin_19082026/06-فناء-الكواكب-وحكمة-الزهد-الكوني_SONG_A.mp3
43,04-حكمة-السعادة-وقانون-التوسط-والتمام_SONG_D.mp3,0.8941593,/content/SUNO_BACKUP_11082026/sabeel_almajd_20082026/04-حكمة-السعادة-وقانون-التوسط-والتمام_SONG_D.mp3
44,02-استحضار-عهد-الوصل-ومخاطبة-الصبا-والبرق_SONG_A.mp3,0.89056134,/content/SUNO_BACKUP_11082026/ibn_zaydoon_adha_21082026/02-استحضار-عهد-الوصل-ومخاطبة-الصبا-والبرق_SONG_A.mp3
45,01-الخمرة-ومجالس-الندامى-وتأمل-المنايا_SONG_A.mp3,0.88944155,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_20082026/01-الخمرة-ومجالس-الندامى-وتأمل-المنايا_SONG_A.mp3
46,01-العذل-والمطامع-وفلسفة-الرزق_SONG_A.mp3,0.8885311,/content/SUNO_BACKUP_11082026/ibn_zuraiq_20082026/01-العذل-والمطامع-وفلسفة-الرزق_SONG_A.mp3
47,10-اعتذار-الرحيل-وخاتمة-المجد-واللذة-الشريفة_SONG_B.mp3,0.88740766,/content/SUNO_BACKUP_11082026/antara_mullaq_21072026/10-اعتذار-الرحيل-وخاتمة-المجد-واللذة-الشريفة_SONG_B.mp3
48,01-نار-ليلى-في-ثمدين-واسترجاع-الخوالي_SONG_A.mp3,0.8850709,/content/SUNO_BACKUP_11082026/majnoon_layla_18082026/01-نار-ليلى-في-ثمدين-واسترجاع-الخوالي_SONG_A.mp3
49,القسم 1  الأطلال والحنين مقام نهاوند_SONG_D.mp3,0.8849539,/content/SUNO_BACKUP_11082026/nabigha_17072026_A/القسم 1  الأطلال والحنين مقام نهاوند_SONG_D.mp3
50,01-وداع-هريرة-وتفصيل-محاسنها-الفتانة_SONG_A.mp3,0.8817744,/content/SUNO_BACKUP_11082026/muallaqat_aassha_21082026/01-وداع-هريرة-وتفصيل-محاسنها-الفتانة_SONG_A.mp3
